415--0.999096-Daniel Lasco--1.1783e-005
416--0.999096-Daniel Lasco--1.74907e-005
417--0.999096-Daniel Lasco--5.55554e-006
418--0.999098-Devontae Booker--0.0499296
419--0.999098-Devontae Booker--0.0303175
420--0.999098-Devontae Booker--0.031526
421--0.999098-Devontae Booker--0.0179248
422--0.999098-Ezekiel Elliott--1
423--0.999098-Ezekiel Elliott--0.999967
424--0.999098-Ezekiel Elliott--0.00226439
425--0.999098-Ezekiel Elliott--0.00783
426--0.999099-Jonathan Williams--5.63633e-005
427--0.999099-Jonathan Williams--9.60909e-005
428--0.999099-Jonathan Williams--0.000345675
429--0.999099-Jonathan Williams--0.000309711
430--0.9991-Kenneth Dixon--0.000446547
431--0.9991-Kenneth Dixon--0.0221689
432--0.9991-Kenneth Dixon--1.93025e-005
433--0.9991-Kenyan Drake--3.36793e-005
434--0.9991-Kenyan Drake--3.01344e-005
435--0.9991-Kenyan Drake--1.90904e-005
436--0.9991-Kenyan Drake--1.70471e-005
437--0.999102-Tyler Ervin--2.89103e-006
438--0.999102-Tyler Ervin--4.49257e-006
439--0.999102-Tyler Ervin--6.39088e-006
440--0.999102-Tyler Ervin--2.7549e-006
441--0.999173-C.J. Prosise--3.15737e-005
442--0.999173-C.J. Prosise--4.17899e-005
443--0.999174-Jordan Howard--0.996743
444--0.999174-Jordan Howard--0.0119597
445--0.999174-Jordan Howard--4.91628e-005
446--0.999174-Jordan Howard--0.985331
447--0.999179-Alex Collins--7.84652e-006
448--0.999179-Alex Collins--5.60889e-006
449--0.999179-Alex Collins--7.01002e-010
450--0.999179-Alex Collins--2.3829e-005
451--0.999179-Andy Janovich--1.61006e-006
452--0.999179-Andy Janovich--3.8317e-006
453--0.999179-Andy Janovich--1.90689e-006
454--0.999179-Andy Janovich--1.65244e-007
455--0.99919-Paul Perkins--5.00489e-006
456--0.99919-Paul Perkins--0.000517626
457--0.99919-Paul Perkins--8.03218e-005
458--0.99919-Paul Perkins--8.61909e-006
459--0.999191-Wendell Smallwood--2.23634e-005
460--0.999191-Wendell Smallwood--0.00807884
461--0.999191-Wendell Smallwood--1.07417e-009
462--0.999191-Wendell Smallwood--0.000621591
463--0.999192-DeAndre Washington--0.00274572
464--0.999192-DeAndre Washington--3.99601e-005
465--0.999192-DeAndre Washington--1.57182e-007
466--0.999192-DeAndre Washington--0.000763599
467--0.999431-Derrick Henry--0.0458512
468--0.999431-Derrick Henry--0.0135236
469--0.999431-Derrick Henry--0.0186052
470--0.999431-Derrick Henry--0.927809
471--0.999448-Dwayne Washington--1.60029e-007
472--0.999448-Dwayne Washington--0.000292537
473--0.999448-Dwayne Washington--1.48163e-005
474--0.999448-Dwayne Washington--7.57022e-006
475--0.999562-Josh Ferguson--3.70847e-005
476--0.999562-Josh Ferguson--4.73313e-009
477--0.999562-Josh Ferguson--1.22361e-007
478--0.999562-Josh Ferguson--5.07169e-006
479--0.999563-Rob Kelley--0.000527236
480--0.999563-Rob Kelley--8.5923e-005
481--0.999563-Rob Kelley--0.0190914
482--0.999563-Rob Kelley--0.0309387
483--0.999584-Peyton Barber--4.51459e-006
484--0.999584-Peyton Barber--2.28243e-006
485--0.999584-Peyton Barber--8.98365e-008
486--0.999608-D.J. Foster--0.000193022
487--0.999608-D.J. Foster--1.38449e-006
488--0.999608-D.J. Foster--7.82858e-005
489--0.999608-D.J. Foster--1.05488e-005
490--0.999622-Don Jackson--3.56455e-010
491--0.999715-Kenneth Farrow--0.00268036
492--0.999715-Kenneth Farrow--1.02504e-006
493--0.999715-Kenneth Farrow--3.99244e-006
494--0.999715-Kenneth Farrow--1.41964e-005
495--0.999747-Jalen Richard--0.00546842
496--0.999747-Jalen Richard--5.52794e-006
497--0.999747-Jalen Richard--0.00169604
498--0.999747-Jalen Richard--0.0116091
499--1-Troymaine Pope--3.59836e-006
